key,ptbr,enus
cher,Cher Ami,Cher Ami
orni,Ornitóloga,Ornithologist
1orni1,"Foi uma queda e tanto, né?","That was quite a fall, huh?"
1cher1,Onde estou? O que aconteceu?,Where am I? What happened?
1orni2,"Tenta não se mexer muito, sua asa está luxada.",Try not to move too much—your wing is dislocated.
1cher2,Luxada? Eu não posso voar? Eu devia ter ficado no ninho...,Dislocated? I can’t fly? I should’ve stayed in the nest...
col.cher,Colhereiro... tão... rosa. Será que se eu comesse crustáceos eu também ficaria assim?,"Spoonbill... so... pink. If I ate crustaceans, would I turn that color too?"
col.orni,"Este é o colhereiro! Seu bico em forma de colher serve para peneirar a água em busca de alimentos. Use o mouse para direcionar seu bico e clique para comer. Observe as cores na água: evite lixo. Colhereiros comem peixes e insetos, mas seu alimento favorito são crustáceos!","This is the spoonbill! Its spoon-shaped bill helps it sift through water for food. Use your mouse to guide its beak and click to eat. Watch the colors in the water—avoid trash. Spoonbills eat fish and insects, but their favorite food is crustaceans!"
col.orni.fim,FIM PUZZLE COLHEREIRO XXX,FIM PUZZLE COLHEREIRO XXX
col.pos,"Se eu fosse assim, eu seria mais valorizada...",If I looked like that... maybe I’d be valued more.
2cher1,Que estranho... anda difícil de respirar.,Something’s wrong... it’s hard to breathe.
2orni1,"Não, eu sei, ela foi resgatada.... Não, mas... Vi que vocês atendem pássaros também, mas— O quê? [som de linha ocupada] ...desligou.","No, I know, she was rescued... No, but— I saw you treat birds too, but— What? [dial tone] ...They hung up."
2cher2,"Humanos são estranhos. Ficam falando com essa telha de metal... Bom, eu ouvi que éramos amigos no passado. Fomos trazidos pra cá, entregávamos mensagens... Fico me perguntando como fazem isso sem nós hoje.","Humans are strange. Always talking to that metal slab... I heard we used to be friends. Brought here, delivering messages... I wonder how they do it without us now."
tang.cher,Os tangarás machos costumam dançar para atrair as fêmeas... Sou desengonçada demais pra dançar assim.,Male manakins dance to attract females... I’m too clumsy to dance like that.
tang.orni,Os tangarás machos fazem uma apresentação coletiva para a fêmea. Tente encontrar o macho alfa enquanto eles dançam!,The male manakins perform a group dance for the female. Try to spot the alpha male while they dance!
tang.pos,Seria incrível dançar assim... Mas sou apenas uma pomba.,It’d be amazing to dance like that... But I’m just a pigeon.
3orni1,"Vem cá, bebe isso aqui...","Come here, drink this..."
3cher1,Glup! Mas que coisa amarga é essa? ELA QUER ME MATAR?,Gulp! What is this bitter stuff? IS SHE TRYING TO KILL ME?
3orni2,Foi o que consegui por hora... Você vai ficar bem. Só preciso de mais tempo...,It’s all I could get for now... You’ll be okay. I just need more time...
3cher2,Mais tempo pra quê? Estou ótima!,More time for what? I’m fine!
uru.cher,Urutau... a 'ave-fantasma'. Todos dizem que ele é misterioso. Talvez porque ninguém se importe em olhar direito...,Potoo... the 'ghost bird.' Everyone says they’re mysterious. Maybe because no one bothers to really look...
uru.orni,TUTORIAL URUTAL XXX,POTOO TUTORIAL XXX
uru.pos,Se esconder é fácil... Difícil é fazer alguém te enxergar.,Hiding is easy... The hard part is making someone see you.
4orni1,"Veja só, pequena guerreira... Hoje você conhecerá o mestre da paciência.","Look here, little warrior... Today, you’ll meet the master of patience."
4cher1,Guerreira? Eu mal consigo levantar a cabeça... Mas essa luz no seu olho... Parece importante.,Warrior? I can barely lift my head... But that light in your eyes... It feels important.
soc.cher,Ele fica parado por horas... Será que também sente que não pertence aqui?,It stands still for hours... Does it also feel like it doesn’t belong here?
soc.orni,TUTORIAL SOCOZINHO XXX,STRIATED HERON TUTORIAL XXX
soc.pos,Ele espera... porque sabe que a recompensa virá. E eu? O que eu espero agora...?,It waits... because it knows the reward will come. And me? What am I waiting for now...?
5orni1,Cher Ami... Por favor. Olha pra mim. [pausa] Você... você me mostrou tantos mundos...,Cher Ami... Please. Look at me. [pause] You... you showed me so many worlds
5cher1,O colhereiro... ensinou que até na lama há beleza. O tangará... que dançar é resistir. O urutau... que desaparecer não é sumir. E o socozinho... [tosse] ...que esperar não é desistir.,"The spoonbill... taught me that even in mud, there’s beauty. The manakin... that dancing is resistance. The potoo... that vanishing isn’t disappearing. And the heron... [coughs] ...that waiting isn’t giving up."
5orni2,Você não é 'apenas uma pomba'. Você é... a mensageira que me lembrou como voar.,You’re not 'just a pigeon.' You’re... the messenger who reminded me how to fly.
